n,state_0,state_1,state_2
0,0.921250761702584,0.0,-0.28077706318410495
1,-9.603429163007604e-15,-0.7261410950856717,-3.4756919564671307e-13
2,-0.3511795845104679,9.992007221626409e-16,-0.4096584766734901
3,1.2281842209915794e-14,0.5345577759224452,4.1175396425785493e-14
4,0.15311890806633593,-1.5543122344752192e-15,0.5230304376886009
5,7.632783294297951e-15,-0.34945503081589124,2.566696855055284e-13
6,-0.0626458447397183,9.992007221626409e-16,-0.46976566197346603
7,-1.8415824420969784e-14,0.21279585065357928,-4.201500258815827e-13
8,0.020299395576854062,1.3322676295501878e-15,0.3687428717391543
9,2.6971480604487397e-14,-0.12086816071943396,4.918704332723678e-13
10,-0.001487920688657919,-5.5198901005582e-15,-0.2666101088252667
11,-3.207156762385921e-14,0.0626751207708335,-4.979350265443827e-13
12,-0.0057253946965800245,1.0241807402167069e-14,0.180560470545587
13,3.281402927157728e-14,-0.02785396469556492,4.56773507906405e-13
14,0.007438159592531156,-1.3752887717544127e-14,-0.11471132042009323
15,-2.9830304892897175e-14,0.008352591541855985,-3.890776589798861e-13
16,-0.006780377529205732,1.582067810090848e-14,0.06760318806076923
17,2.5261043257174265e-14,0.0015791896329494536,3.1558089474970075e-13
18,0.005316391980420245,-1.554312234475219e-14,-0.035792497261935854
19,-2.0577289872036886e-14,-0.005833967150796591,-2.488287353941132e-13
20,-0.0037797911790966414,1.5487611193520934e-14,0.015535823898739656
21,1.676089822488791e-14,0.00693464488275788,1.943861738240571e-13
22,0.002471024770530874,-1.6153745008296028e-14,-0.003509855553606958
23,-1.4068607390171906e-14,-0.006447797022769168,-1.528221993396528e-13
24,-0.0014741912492751315,1.6930901125533637e-14,-0.002951334926153154
25,1.1962653090336062e-14,0.0052994138499605995,1.210559430475655e-13
26,0.0007740097569204629,-1.7791323969618134e-14,0.005848655540585196
27,-1.0134254546656507e-14,-0.004002301231640459,-9.572898029830412e-14
28,-0.0003171452573923414,1.657398177035141e-14,-0.006607170366859802
29,8.357897707256257e-15,0.0028131465509903916,7.346900865456973e-14
30,4.265904280918373e-05,-1.2524703496552547e-14,0.0061943054372593925
31,-6.238065619612598e-15,-0.001837245321683641,-5.154210391822289e-14
32,0.00010435214177642246,5.842548667089886e-15,-0.005234687789169287
33,4.030648432128687e-15,0.0010959783740728311,3.038511978068948e-14
34,-0.00016794640239932782,2.4147350785597155e-15,0.004108181367889166
35,-1.867301052209762e-15,-0.0005686886371797618,-1.1008704432422597e-14
36,0.0001808778050065088,-1.0547118733938987e-14,-0.003027470319907577
37,-2.980747297270031e-16,0.00021750713429232696,-7.298290413801408e-15
38,-0.00016603497247950905,1.7881529590368928e-14,0.002096231098176693
39,2.3106208784227534e-15,-1.1770371400755974e-06,2.4174947037238575e-14
40,0.00013848781078507066,-2.4896751327219135e-14,-0.0013508556965149687
41,-4.163354739578019e-15,-0.00011797351089646527,-3.921870537456144e-14
42,-0.00010751160892347178,3.114175584073564e-14,0.0007891663427261053
43,5.655211413040362e-15,0.00017114195356355682,5.1514407208638186e-14
44,7.832030901551087e-05,-3.530509218307998e-14,-0.0003893455934999429
45,-6.519093175245011e-15,-0.0001824534719409201,-5.814794263599596e-14
46,-5.343147340098296e-05,3.6443070783320763e-14,0.0001218065783331005
47,6.404597528392893e-15,0.00016953315998537898,5.73430131095146e-14
48,3.367828122898247e-05,-3.469446951953614e-14,4.383752328370686e-05
49,-5.78356643764066e-15,-0.0001445748581971624,-5.249966512575577e-14
50,-1.8922522431498445e-05,3.136380044566067e-14,-0.00013507298234033405
51,4.962609043407034e-15,0.0001155247763462868,4.5595467087001726e-14
52,8.53263262407672e-06,-2.6770252681274087e-14,0.00017486827892477033
53,-4.1251721362149085e-15,-8.718169229204383e-05,-3.855249224615009e-14
54,-1.6870245725594812e-06,2.19824158875781e-14,-0.0001813092857109455
55,3.320261325325782e-15,6.212676143231551e-05,3.155809134225204e-14
56,-2.446505640080719e-06,-1.8762769116165146e-14,0.0001679258949848217
57,-2.599050155918225e-15,-4.1459856353945327e-05,-2.5167371713026162e-14
58,4.615360482025654e-06,1.5376588891058418e-14,-0.00014434674783384005
59,2.0166161024980223e-15,2.535317404788797e-05,1.9793195830576973e-14
60,-5.4408749542086965e-06,-1.2684298056342413e-14,0.00011705858417723758
61,-1.5022701189975608e-15,-1.3448268647300949e-05,-1.5085153431762696e-14
62,5.409870074173789e-06,1.0103029524088925e-14,-9.014234183407632e-05
63,1.0750946125538506e-15,5.1273740567674095e-06,1.0914878583894366e-14
64,-4.884402539935551e-06,-7.757683384568281e-15,6.592105417860261e-05
65,-6.840232864509736e-16,3.1120827498516653e-07,-7.150530705268971e-15
66,4.120130286874857e-06,5.384581669432009e-15,-4.549414750218417e-05
67,3.6743631656924075e-16,-3.5477234427150343e-06,3.979456694371791e-15
68,-3.287351030670932e-06,-3.219646771412954e-15,2.9156115281123857e-05
69,-9.376994121775096e-17,5.1844426894875895e-06,-1.237291672941633e-15
70,2.4912935705136835e-06,2.071693511185302e-15,-1.6710110344916873e-05
71,-1.1652475116706528e-16,-5.72162807404783e-06,-9.805530923816075e-16
72,-1.7899203686704696e-06,-1.582067810090848e-15,7.692622266700089e-06
73,3.0195034356934074e-16,5.5538243225461414e-06,2.80504810724127e-15
74,1.2085642488307569e-06,1.4432899320127035e-15,-1.5268115567401708e-06
75,-4.248468729745243e-16,-4.977818634316344e-06,-4.1064390388290235e-15
76,-7.513551799620544e-07,-1.6792123247455493e-15,-2.3789027800980023e-06
77,4.990582404878951e-16,4.206364081979497e-06,4.924879825755193e-15
78,4.0973491644176463e-07,1.8925833122906965e-15,4.572554530735129e-06
79,-5.347285533180912e-16,-3.3838415919168474e-06,-5.244069293778868e-15
80,-1.6851058169328748e-07,-1.970645868709653e-15,-5.528761602924259e-06
81,4.759952528010227e-16,2.601544748685042e-06,4.734114612122214e-15
82,9.936174830832423e-09,1.7832957333041577e-15,5.637945592731897e-06
83,-3.966011297266526e-16,-1.911324717898677e-06,-3.867565848694964e-15
84,8.371643486770886e-08,-1.457167719820518e-15,-5.207597877088244e-06
85,2.2994912538377943e-16,1.3370353034447557e-06,2.308182628035464e-15
86,-1.286951119526536e-07,1.124100812432971e-15,4.470481629381684e-06
87,-8.380883200697869e-17,-8.836623641705899e-07,-9.488937536623901e-16
88,1.390828068157865e-07,-8.062127354602211e-16,-3.5962097918416924e-06
89,-6.114900763356379e-17,5.442817250789211e-07,-3.7470029454952236e-16
90,-1.2662999814352927e-07,5.48172618408671e-16,2.7038331746886968e-06
91,1.6393136466395983e-16,-3.051238082196761e-07,1.3721662478843499e-15
92,1.0090633265069648e-07,-4.3194614551822497e-16,-1.8739567590186912e-06
93,-2.095898366826497e-16,1.4907523016027824e-07,-1.677260785854959e-15
94,-6.962606966670615e-08,4.371503159461554e-16,1.1595301619427012e-06
95,1.8317595265412448e-16,-5.794929602842557e-08,1.5655879118794337e-15
96,3.9043609293548664e-08,-3.3306690738754696e-16,-5.948837658031891e-07
97,-1.5048726483343767e-16,1.3831124370811139e-08,-1.1605300237957221e-15
98,-1.4346970795414693e-08,1.5959455978986625e-16,2.028538599457841e-07
99,4.30428245283734e-17,2.360976275594991e-10,4.458239239014216e-16